controller,stage2_rank,sample_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,control_effort,x_control_effort,total_acceleration_effort,max_abs_ax_m_s2,max_ax_step_m_s2,max_abs_ay_m_s2,max_ay_step_m_s2,max_abs_az_m_s2,max_az_step_m_s2,max_cutter_angular_speed_rad_s,max_thrust_N,max_abs_torque_Nm
pid,1,wind_1p5__-y_r0.15,True,True,6.675000000000001,0.09745498268436768,0.3410327505472874,,,0.03809919592128323,0.03809919592128323,0.04091742282969911,0.09694949216628358,0.011561724445946595,0.034417132981948755,0.015,0.015264765741152963,0.009314788800468661,0.02188533904824003,130.0866843030374,0.06439854810810698
pid,1,wind_3p0__-y_r0.15,True,False,,0.21295747550368638,1.1328014568566578,,,0.6194132551593645,0.6194132551593645,0.6304479060788132,0.3851947526128708,0.04641120910009086,0.03444242114949132,0.015,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.20207462197143172
pid,1,calm__+z_r0.15,True,True,0.99,0.029780750412311516,0.0,,,0.0,0.0,0.11217005724800687,0.0,0.0,0.0,0.0,0.7500000000000011,0.25,0.0,139.8144,0.0
pid,1,wind_1p5__+z_r0.15,True,True,3.2700000000000005,0.05675913161804079,0.34553278167909457,,,0.038300188440419373,0.038300188440419373,0.15219309068290393,0.09694949216628358,0.011561724445946595,0.0,0.0,0.7497795598023159,0.25,0.02188533904824003,139.8120029200036,0.06521210577886705
pid,1,wind_3p0__+z_r0.15,True,False,,0.19772541794950496,1.1483202091936493,,,0.6205675136943921,0.6205675136943921,0.7469538744845465,0.3851947526128708,0.04641120910009086,0.0,0.0,0.7488793569611544,0.25,0.10069606360324712,139.80700976953264,0.20207462197143172
pid,1,calm__-z_r0.15,True,True,0.99,0.029780750412311496,0.0,,,0.0,0.0,0.11217005724800738,0.0,0.0,0.0,0.0,0.7499999999999989,0.25,0.0,132.5522045707889,0.0
pid,1,wind_1p5__-z_r0.15,True,True,3.2650000000000006,0.05657758397606146,0.33613613418774513,,,0.037878840750105,0.037878840750105,0.14912846579891736,0.09694949216628358,0.011561724445946595,0.0,0.0,0.7502204401976841,0.25,0.02188533904824003,132.45228805459024,0.06347465426063732
pid,1,wind_3p0__-z_r0.15,True,False,,0.197508012426931,1.1166934349113913,,,0.618047064916762,0.618047064916762,0.7327882354791072,0.3851947526128708,0.04641120910009086,0.0,0.0,0.7509946035280732,0.25,0.10069606360324712,132.21731105185236,0.20207462197143172
pid,1,calm__+x_r0.25,True,True,5.68,0.11299683949512261,0.6412192507965215,,,0.031715017292816144,0.031715017292816144,0.03338404309513591,0.20180053277697663,0.20124999999999998,0.0,0.0,0.022694961449869187,0.005046683494329715,0.03844147142399857,130.18007026297528,0.3171845557106885
pid,1,wind_1p5__+x_r0.25,True,True,2.3500000000000005,0.09327573421263102,0.7167306935379916,,,0.07058563337092569,0.07058563337092569,0.07282305532435668,0.17053498312372622,0.2007792402693463,0.0,0.0,0.0254515066800904,0.009314788800468661,0.0472223506281384,130.21906343969013,0.3087327223585835
pid,1,wind_3p0__+x_r0.25,True,False,,0.15986452131942222,1.3921268858258067,,,0.655602487560824,0.655602487560824,0.6681599979842794,0.3851947526128708,0.19881053799973486,0.0,0.0,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.3053130932202428
pid,1,calm__-x_r0.25,True,True,5.68,0.1130164904420877,0.6426498388496669,,,0.03173064835111437,0.03173064835111437,0.03340684887322415,0.20180053277697663,0.20125,0.0,0.0,0.026193148796910027,0.0049744663401462726,0.038584008448088895,130.23128115054817,0.31718455571068854
pid,1,wind_1p5__-x_r0.25,True,True,6.115,0.14120912862614976,0.42410250211784783,,,0.05679235492354105,0.05679235492354105,0.057861870984642544,0.2334260496741173,0.20172075973065368,0.0,0.0,0.023139831968655416,0.009314788800468661,0.03160920251864516,130.19404429401217,0.32568708633495136
pid,1,wind_3p0__-x_r0.25,True,False,,0.2858046079897242,0.9991968790010362,,,0.6296774822227984,0.6296774822227984,0.6370544553738409,0.3851947526128708,0.20368946200026514,0.0,0.0,0.07528810868013902,0.04263443656845487,0.10069606360324712,130.75674525126715,0.32915104985870647
pid,1,calm__+y_r0.25,True,True,5.34,0.15545997022509508,0.0,,,0.0,0.0,0.0111572132455739,0.0,0.0,0.06013769356692848,0.025,0.0011248228730326635,8.068004949708576e-05,0.00690182891859581,129.89261842751176,0.1154804484858826
